MS.SubClass,MS.Zoning,Lot.Frontage,Lot.Area,Lot.Shape,Land.Contour,Lot.Config,Land.Slope,Neighborhood,Bldg.Type,House.Style,Overall.Qual,Overall.Cond,Roof.Style,Mas.Vnr.Type,Mas.Vnr.Area,Exter.Qual,Exter.Cond,Foundation,Bsmt.Qual,Bsmt.Cond,Bsmt.Exposure,BsmtFin.Type.1,BsmtFin.SF.1,BsmtFin.Type.2,BsmtFin.SF.2,Bsmt.Unf.SF,Total.Bsmt.SF,Heating.QC,Central.Air,Electrical,X1st.Flr.SF,X2nd.Flr.SF,Low.Qual.Fin.SF,Gr.Liv.Area,Bsmt.Full.Bath,Bsmt.Half.Bath,Full.Bath,Half.Bath,Bedroom.AbvGr,Kitchen.AbvGr,Kitchen.Qual,TotRms.AbvGrd,Functional,Fireplaces,Garage.Type,Garage.Finish,Garage.Cars,Garage.Area,Paved.Drive,Wood.Deck.SF,Open.Porch.SF,Enclosed.Porch,X3Ssn.Porch,Screen.Porch,Pool.Area,Fence,Misc.Val,Mo.Sold,Yr.Sold,Sale.Type,Sale.Condition,Condition,HasShed,HasAlley,Exterior,Garage.Age,Remod.Age,House.Age,Total.SF,Total.Floor.SF,Total.Porch.SF,Total.Bathrooms,Has.Basement,Has.Garage,Has.Porch,Has.Pool,Was.Completed
20,RL,4.955827057601261,10.366309203003638,1.0986122886681098,1.6094379124341003,Corner,1.3862943611198906,NAmes,1Fam,1Story,6,5,Hip,Stone,4.727387818712341,1.3862943611198906,1.3862943611198906,CBlock,1.3862943611198906,1.6094379124341003,1.6094379124341003,BLQ,6.461468176353717,Unf,0.0,6.091309882077698,1080.0,1.0986122886681098,Y,SBrkr,7.4127640174265625,0.0,0.0,7.4127640174265625,0.6931471805599453,0.0,1.0,0.0,3.0,0.6931471805599453,3,2.0794415416798357,2.1972245773362196,1.0986122886681098,Attchd,3,2.0,528.0,1.0986122886681098,5.351858133476067,4.143134726391533,0.0,0.0,0.0,0.0,NoFence,0.0,5.0,2010.0,GroupedWD,Normal,Norm,False,False,BrkFace,3.9318256327243257,50.0,3.9318256327243257,7.914617709040679,7.4127640174265625,4.143134726391533,2.0,1,1,1,0,1
20,RH,4.394449154672439,9.360741172643708,0.6931471805599453,1.6094379124341003,Inside,1.3862943611198906,NAmes,1Fam,1Story,5,6,Gable,None,0.0,1.3862943611198906,1.3862943611198906,CBlock,1.3862943611198906,1.3862943611198906,0.6931471805599453,Rec,6.150602768446279,LwQ,4.976733742420574,5.602118820879701,882.0,1.3862943611198906,Y,SBrkr,6.799055862058796,0.0,0.0,6.799055862058796,0.0,0.0,1.0,0.0,2.0,0.6931471805599453,3,1.791759469228055,2.1972245773362196,0.0,Attchd,1,1.0,730.0,1.3862943611198906,4.948759890378168,0.0,0.0,0.0,4.795790545596741,0.0,MnPrv,0.0,6.0,2010.0,GroupedWD,Normal,Roads,False,False,VinylSd,3.912023005428146,49.0,3.912023005428146,7.483806687665835,6.799055862058796,4.795790545596741,1.0,1,1,1,0,1
20,RL,4.406719247264253,9.565774546478782,1.0986122886681098,1.6094379124341003,Corner,1.3862943611198906,NAmes,1Fam,1Story,6,6,Hip,BrkFace,4.6913478822291435,1.3862943611198906,1.3862943611198906,CBlock,1.3862943611198906,1.3862943611198906,0.6931471805599453,ALQ,6.828712071641684,Unf,0.0,6.008813185442595,1329.0,1.3862943611198906,Y,SBrkr,7.1929342212158,0.0,0.0,7.1929342212158,0.0,0.0,1.0,0.6931471805599453,3.0,0.6931471805599453,4,1.9459101490553132,2.1972245773362196,0.0,Attchd,1,1.0,312.0,1.3862943611198906,5.976350909297934,3.6109179126442243,0.0,0.0,0.0,0.0,NoFence,9.433563920090563,6.0,2010.0,GroupedWD,Normal,Norm,False,False,Wd Sdng,3.970291913552122,52.0,3.970291913552122,7.88570539124302,7.1929342212158,3.6109179126442243,1.5,1,1,1,0,1
20,RL,4.543294782270004,9.320180837655714,0.6931471805599453,1.6094379124341003,Corner,1.3862943611198906,NAmes,1Fam,1Story,7,5,Hip,None,0.0,1.6094379124341003,1.3862943611198906,CBlock,1.3862943611198906,1.3862943611198906,0.6931471805599453,ALQ,6.97166860472579,Unf,0.0,6.952728644624869,2110.0,1.791759469228055,Y,SBrkr,7.65491704784832,0.0,0.0,7.65491704784832,0.6931471805599453,0.0,2.0,0.6931471805599453,3.0,0.6931471805599453,5,2.1972245773362196,2.1972245773362196,1.0986122886681098,Attchd,3,2.0,522.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,GroupedWD,Normal,Norm,False,False,BrkFace,3.7612001156935624,42.0,3.7612001156935624,8.347827345782498,7.65491704784832,0.0,3.5,1,1,0,0,1
60,RL,4.31748811353631,9.534667728624708,1.0986122886681098,1.6094379124341003,Inside,1.3862943611198906,Gilbert,1Fam,2Story,5,5,Gable,None,0.0,1.3862943611198906,1.3862943611198906,PConc,1.6094379124341003,1.3862943611198906,0.6931471805599453,GLQ,6.674561391814426,Unf,0.0,4.927253685157205,928.0,1.6094379124341003,Y,SBrkr,6.834108738813838,6.553933404025811,0.0,7.396335293800808,0.0,0.0,2.0,0.6931471805599453,3.0,0.6931471805599453,3,1.9459101490553132,2.1972245773362196,0.6931471805599453,Attchd,3,2.0,482.0,1.3862943611198906,5.3612921657094255,3.5553480614894135,0.0,0.0,0.0,0.0,MnPrv,0.0,3.0,2010.0,GroupedWD,Normal,Norm,False,False,VinylSd,2.6390573296152584,12.0,2.6390573296152584,7.846980982138788,7.396335293800808,3.5553480614894135,2.5,1,1,1,0,1
60,RL,4.3694478524670215,9.208238163884312,1.0986122886681098,1.6094379124341003,Inside,1.3862943611198906,Gilbert,1Fam,2Story,6,6,Gable,BrkFace,3.044522437723423,1.3862943611198906,1.3862943611198906,PConc,1.3862943611198906,1.3862943611198906,0.6931471805599453,GLQ,6.401917196727186,Unf,0.0,5.783825182329737,926.0,1.791759469228055,Y,SBrkr,6.831953565565855,6.520621127558696,0.0,7.380879035564116,0.0,0.0,2.0,0.6931471805599453,3.0,0.6931471805599453,4,2.0794415416798357,2.1972245773362196,0.6931471805599453,Attchd,3,2.0,470.0,1.3862943611198906,5.8888779583328805,3.6109179126442243,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,Norm,False,False,VinylSd,2.5649493574615367,12.0,2.5649493574615367,7.836369760545124,7.380879035564116,3.6109179126442243,2.5,1,1,1,0,1
120,RL,3.7376696182833684,8.501267040865978,0.6931471805599453,1.6094379124341003,Inside,1.3862943611198906,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,1.6094379124341003,1.3862943611198906,PConc,1.6094379124341003,1.3862943611198906,1.0986122886681098,GLQ,6.424869023905388,Unf,0.0,6.583409222158765,1338.0,1.791759469228055,Y,SBrkr,7.199678345691172,0.0,0.0,7.199678345691172,0.6931471805599453,0.0,2.0,0.0,2.0,0.6931471805599453,4,1.9459101490553132,2.1972245773362196,0.0,Attchd,3,2.0,582.0,1.3862943611198906,0.0,0.0,5.14166355650266,0.0,0.0,0.0,NoFence,0.0,4.0,2010.0,GroupedWD,Normal,Norm,False,False,CemntBd,2.302585092994046,9.0,2.302585092994046,7.892452043520352,7.199678345691172,5.14166355650266,3.0,1,1,1,0,1
120,RL,3.784189633918261,8.518392471991719,1.0986122886681098,1.0986122886681098,Inside,1.3862943611198906,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,1.6094379124341003,1.3862943611198906,PConc,1.6094379124341003,1.3862943611198906,0.6931471805599453,ALQ,5.575949103146316,Unf,0.0,6.925595197110468,1280.0,1.791759469228055,Y,SBrkr,7.155396301896734,0.0,0.0,7.155396301896734,0.0,0.0,2.0,0.0,2.0,0.6931471805599453,4,1.791759469228055,2.1972245773362196,0.0,Attchd,2,2.0,506.0,1.3862943611198906,0.0,4.418840607796598,0.0,0.0,4.976733742420574,0.0,NoFence,0.0,1.0,2010.0,GroupedWD,Normal,Norm,False,False,HdBoard,2.9444389791664403,18.0,2.9444389791664403,7.848153086199526,7.155396301896734,5.424950017481403,2.0,1,1,1,0,1
120,RL,3.6888794541139363,8.592300663903043,1.0986122886681098,1.6094379124341003,Inside,1.3862943611198906,StoneBr,TwnhsE,1Story,8,5,Gable,None,0.0,1.6094379124341003,1.3862943611198906,PConc,1.6094379124341003,1.3862943611198906,0.6931471805599453,GLQ,7.074116816197362,Unf,0.0,6.030685260261263,1595.0,1.791759469228055,Y,SBrkr,7.388327859577107,0.0,0.0,7.388327859577107,0.6931471805599453,0.0,2.0,0.0,2.0,0.6931471805599453,4,1.791759469228055,2.1972245773362196,0.6931471805599453,Attchd,2,2.0,608.0,1.3862943611198906,5.472270673671475,5.030437921392435,0.0,0.0,0.0,0.0,NoFence,0.0,3.0,2010.0,GroupedWD,Normal,Norm,False,False,CemntBd,2.772588722239781,14.0,2.772588722239781,8.074649075066652,7.388327859577107,5.030437921392435,3.0,1,1,1,0,1
60,RL,4.110873864173311,8.922791623969637,0.6931471805599453,1.6094379124341003,Inside,1.3862943611198906,Gilbert,1Fam,2Story,7,5,Gable,None,0.0,1.3862943611198906,1.3862943611198906,PConc,1.3862943611198906,1.3862943611198906,0.6931471805599453,Unf,0.0,Unf,0.0,6.902742737158593,994.0,1.6094379124341003,Y,SBrkr,6.9363427358340495,6.655440350367647,0.0,7.498315870766981,0.0,0.0,2.0,0.6931471805599453,3.0,0.6931471805599453,4,2.0794415416798357,2.1972245773362196,0.6931471805599453,Attchd,3,2.0,442.0,1.3862943611198906,4.948759890378168,4.110873864173311,0.0,0.0,0.0,0.0,NoFence,0.0,6.0,2010.0,GroupedWD,Normal,Norm,False,False,VinylSd,2.4849066497880004,11.0,2.4849066497880004,7.937017489515454,7.498315870766981,4.110873864173311,2.5,1,1,1,0,1
